Sendungsnummer,length_cm,width_cm,height_cm,weight_in_g,fragile,perishable,house_number,street,post_code,city,date
1,152,112,74,17950,0,0,10,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
2,157,101,50,4620,0,0,27,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
3,148,68,9,2390,1,0,18a,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
4,92,226,115,1470,0,0,64,Bismarckstraße,78120,Furtwangen im Schwarzwald,2022-01-01
5,157,71,106,10360,0,0,22,Luisenstraße,78120,Furtwangen im Schwarzwald,2022-01-01
6,18,60,34,1400,0,0,27,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
7,17,12,189,390,0,0,4,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
8,174,167,13,970,0,0,26,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
9,87,51,52,1500,0,0,17a,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
10,162,33,26,10380,0,1,9,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
11,280,233,81,3720,0,0,12,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
12,72,158,76,23620,1,0,22a,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
13,113,226,96,1520,0,0,29a,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
14,163,210,86,19220,0,0,19,Luisenstraße,78120,Furtwangen im Schwarzwald,2022-01-01
15,126,108,21,2170,0,1,1,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
16,110,35,33,4620,0,1,43,Bismarckstraße,78120,Furtwangen im Schwarzwald,2022-01-01
17,56,52,71,2320,0,0,17,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
18,68,33,5,900,0,0,20a,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
19,91,54,142,260,0,0,22,Luisenstraße,78120,Furtwangen im Schwarzwald,2022-01-01
20,146,22,31,4510,0,0,22,Luisenstraße,78120,Furtwangen im Schwarzwald,2022-01-01
21,122,141,31,2840,1,0,22,Luisenstraße,78120,Furtwangen im Schwarzwald,2022-01-01
22,283,93,120,1410,0,0,28,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
23,53,21,9,430,0,1,8,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
24,86,145,13,4340,0,0,12,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
25,89,19,39,2680,0,0,17,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
26,108,13,2,330,1,0,26a,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
27,37,154,68,6880,0,1,18,Luisenstraße,78120,Furtwangen im Schwarzwald,2022-01-01
28,54,62,47,340,0,0,13,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
29,138,54,31,1050,0,0,23,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
30,163,23,54,2220,0,0,7,Rabenstraße,78120,Furtwangen im Schwarzwald,2022-01-01
31,64,141,52,280,0,0,5,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
32,53,75,86,3200,0,0,27,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
33,48,31,136,4580,0,1,4,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
34,133,155,135,18230,0,0,22,Luisenstraße,78120,Furtwangen im Schwarzwald,2022-01-01
35,50,32,21,1100,0,0,18,Katzensteigstraße,78120,Furtwangen im Schwarzwald,2022-01-01
